tip2dip,tip2pip,tip2mcp,tip2wrist,disp,velocity_size,velocity_disp,acceleration_disp,distance_cm,is_hovering
1.0,2.0,3.0,4.0,5.0,0.1,0.2,0.3,115.0,False
1.1,2.1,3.1,4.1,5.1,0.11,0.21,0.31,115.0,True
1.2,2.2,3.2,4.2,5.2,0.12,0.22,0.32,115.0,False
1.3,2.3,3.3,4.3,5.3,0.13,0.23,0.33,115.0,True
1.4,2.4,3.4,4.4,5.4,0.14,0.24,0.34,115.0,False
1.5,2.5,3.5,4.5,5.5,0.15,0.25,0.35,115.0,True
1.6,2.6,3.6,4.6,5.6,0.16,0.26,0.36,115.0,False
1.7,2.7,3.7,4.7,5.7,0.17,0.27,0.37,115.0,True
1.8,2.8,3.8,4.8,5.8,0.18,0.28,0.38,115.0,False
1.9,2.9,3.9,4.9,5.9,0.19,0.29,0.39,115.0,True
